"HolderAddress","Balance","PendingBalanceUpdate"
"0x511f4f91b5147243088bb07e1f192f160f009e82","301,834.053442463598494393","No"
"0x8ad0784f3bea209711a309537e038ebbf34cde1e","297,710","No"
"0xa3d4ac3c23cf5373b28c71b3f7758bedb9998f43","56,214","No"
"0x12793e32d935607896006d50d653c84657418afd","42,325","No"
"0xfbb5838413bc7e48cf4366d7898931880f701002","30,632","No"
"0xbe7334985a0084084d642cae6ed85d43eec25be9","23,998","No"
"0x49867adc3bed07281ecf9ce437a3eb8ddac91b47","16,099","No"
"0x999eebd32bc605236de7a7b3b8b610235c7bb319","15,807.69266468552549514","No"
"0x4f613c02f189abeac93cc283449ed9f2a2f5eb39","15,388.432228688387864802","No"
"0xda67890110e3b78d795bf9c9a5c9e6376b907f9f","13,827.438727157509646709","No"
"0x3e63848803178c4c570b9d77032135297035252c","12,371","No"
"0x5047a4962fb9a290a9b42f5da96787c1da26299a","12,094","No"
"0x5dd8b98f36c727d3a730674a9e7938f9589646a2","12,094","No"
"0xb58b709a4a89b238cdd595973cf3c70b8683b92c","10,966","No"
"0xc42a2c5a52bc798a63a834f2da141f2a078512af","8,705","No"
"0xf79385c9af8803b0f6e158dc716d99d33f6dcb15","8,533","No"
"0x1fbfd920039dc445e5a6d0f61b1050fb62bac07e","7,539","No"
"0x544f8af85b57a0bd76801b68ed2deda5360051ec","7,402.533716759817039257","No"
"0x9ac164add4c99df7139c0aa19328c3059c7ef849","6,047","No"
"0xae69696d5c8ee22b308ba5c2d0145f346fe478bd","6,047","No"
"0x19b5d6dbb034e7c240bac454bbb39d6b1314de04","5,729","No"
"0xd51c1f0016a0f08523645c90b0b91060aa4a7fb0","5,689","No"
"0x8cb2b16806aa0e0b9466bfd120c40c0084677d07","5,689","No"
"0x92ee296fbad0a876c378d0b5cc146e873e83b2ef","4,695","No"
"0x66d7a0e2871d30c45f1b1536898fe841bcecaa86","4,215","No"
"0xbf4a57b8cc8f975660404fb32230216e06f4333b","3,838","No"
"0xc519c7a8a44a30db36420c5c11e56554739e9b2a","3,736","No"
"0xfdd381a3ace71f3088cd8a2b0489ad1fc09c3fff","3,324","No"
"0x5a08867c00f7df752bde13d5f488a7e30f8b46de","3,023","No"
"0x63e1f4843c0290d657f5f68e38d94f4ba2c01b2b","2,844","No"
"0xb8bcd9bc8374714a68a2f51f010fe5be21def978","2,844","No"
"0x0c624c2df626311c4d38bc24174306992bce98b6","2,844","No"
"0x221a80490e3f972b246fbea70ac9f2e412bcb4f5","2,502","No"
"0x5513d576a2613b17ff8cae29184960434cbf017a","2,502","No"
"0x485a0784cf98bb832b09031b3baec99a09cd9771","1,987.050451358616676681","No"
"0x4b68e24df02b2e5b629bb29974b9c5e00a361774","1,954","No"
"0xe6baaa1674063cbc9934e491e9c0c15298b54cdf","1,679","No"
