"HolderAddress","Quantity","PendingBalanceUpdate"
"0xade2c58e2a7f9e711eeb18a3fa480eef89f0eb82","10","No"
"0x18ff7f454b6a3233113f51030384f49054dd27bf","9","No"
"0xb81e0e7465d8397c36057c44f929e4e775a209a6","7","No"
"0x0ba23af142055652ba3ef1bedbfe1f86d9bc60f7","4","No"
"0x329ec32d3f429d5da0c821bf18632a0e11e435b3","4","No"
"0x06ec0d2aa895a12aa767209a4edadf975fd644f9","3","No"
"0x70ef2ac2c9735099ffec02b8a9735aaad9f19302","2","No"
"0x977a6494ff40323db2b18a50d145441a85d85672","2","No"
"0xfbb5838413bc7e48cf4366d7898931880f701002","2","No"
"0x1c8cdf8c8a00ddea3b60cb24182a7420a0949a11","1","No"
"0x49867adc3bed07281ecf9ce437a3eb8ddac91b47","1","No"
"0x4fc476d570707cb2a3fca3e46ac2f5155349790e","1","No"
"0xbaf2ce39e717e5339cbaf141a9c2680a76245956","1","No"
"0xc1053c0148ecd45f3ec89365805aa3b50048350c","1","No"
